2026-07-06 01:51:23,666	WARNING rl_module.py:463 -- DeprecationWarning: `RLModule(config=[RLModuleConfig object])` has been deprecated. Use `RLModule(observation_space=.., action_space=.., inference_only=.., model_config=.., catalog_class=..)` instead. This will raise an error in the future!
{'opt_step': 25, 'env_steps': 204800, 'ce': 0.8330214023590088, 'accuracy': 0.6578369140625, 'wall_s': 4.0}
{'opt_step': 50, 'env_steps': 409600, 'ce': 0.8243047595024109, 'accuracy': 0.6678466796875, 'wall_s': 7.8}
{'opt_step': 75, 'env_steps': 614400, 'ce': 0.8190581202507019, 'accuracy': 0.66845703125, 'wall_s': 11.6}
{'opt_step': 100, 'env_steps': 819200, 'ce': 0.8370022773742676, 'accuracy': 0.6566162109375, 'wall_s': 15.4}
{'opt_step': 125, 'env_steps': 1024000, 'ce': 0.8159124851226807, 'accuracy': 0.6728515625, 'wall_s': 16.7}
{'opt_step': 150, 'env_steps': 1228800, 'ce': 0.818961501121521, 'accuracy': 0.6707763671875, 'wall_s': 20.3}
{'opt_step': 175, 'env_steps': 1433600, 'ce': 0.8203339576721191, 'accuracy': 0.6669921875, 'wall_s': 24.0}
{'opt_step': 200, 'env_steps': 1638400, 'ce': 0.8267751932144165, 'accuracy': 0.66162109375, 'wall_s': 27.7}
{'opt_step': 225, 'env_steps': 1843200, 'ce': 0.8189073801040649, 'accuracy': 0.6689453125, 'wall_s': 31.6}
{'opt_step': 250, 'env_steps': 2048000, 'ce': 0.8031365871429443, 'accuracy': 0.681884765625, 'wall_s': 33.0}
{'opt_step': 275, 'env_steps': 2252800, 'ce': 0.8067614436149597, 'accuracy': 0.6773681640625, 'wall_s': 37.0}
{'opt_step': 300, 'env_steps': 2457600, 'ce': 0.8191350102424622, 'accuracy': 0.665771484375, 'wall_s': 40.9}
{'opt_step': 325, 'env_steps': 2662400, 'ce': 0.8086891770362854, 'accuracy': 0.6759033203125, 'wall_s': 45.0}
{'opt_step': 350, 'env_steps': 2867200, 'ce': 0.8273237943649292, 'accuracy': 0.661865234375, 'wall_s': 46.3}
{'opt_step': 375, 'env_steps': 3072000, 'ce': 0.811333179473877, 'accuracy': 0.6724853515625, 'wall_s': 50.3}
{'opt_step': 400, 'env_steps': 3276800, 'ce': 0.8156529664993286, 'accuracy': 0.672607421875, 'wall_s': 54.0}
{'opt_step': 425, 'env_steps': 3481600, 'ce': 0.8187594413757324, 'accuracy': 0.66796875, 'wall_s': 57.9}
{'opt_step': 450, 'env_steps': 3686400, 'ce': 0.8242822289466858, 'accuracy': 0.6634521484375, 'wall_s': 61.6}
{'opt_step': 475, 'env_steps': 3891200, 'ce': 0.8167855739593506, 'accuracy': 0.671875, 'wall_s': 63.0}
{'opt_step': 500, 'env_steps': 4096000, 'ce': 0.8354283571243286, 'accuracy': 0.6568603515625, 'wall_s': 66.7}
{'opt_step': 525, 'env_steps': 4300800, 'ce': 0.8361638784408569, 'accuracy': 0.654541015625, 'wall_s': 70.5}
{'opt_step': 550, 'env_steps': 4505600, 'ce': 0.8280293941497803, 'accuracy': 0.66259765625, 'wall_s': 74.4}
{'opt_step': 575, 'env_steps': 4710400, 'ce': 0.8200843334197998, 'accuracy': 0.66796875, 'wall_s': 75.8}
{'opt_step': 600, 'env_steps': 4915200, 'ce': 0.8127516508102417, 'accuracy': 0.676025390625, 'wall_s': 79.7}
done -> /Users/alex/Software/XOR/RLlib Harnes Beta/results/phase2/b_sl/seed2
